,Date,Hour,Dew_Point,TD1,TD2,TD3,TD4,TD5
0,00:20,00:20,,,,,,
1,2019/1/1,02:20,1,6,1024,"16,7 km/sa, D","10,00",Bulut Tavanı ve Görüş Temiz
2,2019/1/1,04:20,1,5,1024,"14,8","10,00",Bulut Tavanı ve Görüş Temiz
3,06:20,06:20,,,,,,
4,2019/1/1,08:20,-2,6,1023,"14,8 km/sa, D","10,00",Bulut Tavanı ve Görüş Temiz
5,2019/1/1,10:20,-1,6,1023,"20,4","10,00",Bulut Tavanı ve Görüş Temiz
6,12:20,12:20,,,,,,
7,2019/1/1,14:20,1,9,1020,"29,6","10,00",Çok bulutlu (2.743 m)
8,2019/1/1,16:20,0,8,1020,"25,9","10,00",Çok bulutlu (2.438 m)
9,18:20,18:20,,,,,,
10,2019/1/1,20:20,2,8,1019,"22,2","10,00",Bulut Tavanı ve Görüş Temiz
11,2019/1/1,22:20,2,8,1018,"18,5","10,00",Çok bulutlu (3.048 m)
12,00:20,00:20,,,,,,
13,2019/1/2,02:20,3,7,1016,"13,0","10,00",Çok bulutlu (1.006 m)
14,2019/1/2,04:20,2,6,1015,"11,1","10,00",Çok bulutlu (1.067 m)
15,06:20,06:20,,,,,,
16,2019/1/2,08:20,4,7,1013,"11,1","6,00",Çok bulutlu (914 m)
17,2019/1/2,10:20,5,7,1013,"13,0 km/sa, K","4,60",Kapalı (549 m)
18,12:20,12:20,,,,,,
19,2019/1/2,14:20,4,6,1010,"18,5 km/sa, K","8,00",Çok bulutlu (610 m)
20,2019/1/2,16:20,3,7,1010,"11,1","10,00",Kapalı (732 m)
21,18:20,18:20,,,,,,
22,2019/1/2,20:20,2,7,1011,"11,1","10,00",Çok bulutlu (914 m)
23,2019/1/2,22:20,2,7,1011,"9,26 km/sa, K","10,00",Çok bulutlu (914 m)
24,00:20,00:20,,,,,,
25,2019/1/3,02:20,3,6,1011,"13,0 km/sa, K","10,00",Çok bulutlu (975 m)
26,2019/1/3,04:20,3,6,1012,"13,0 km/sa, K","8,00",Çok bulutlu (914 m)
27,06:20,06:20,,,,,,
28,2019/1/3,08:20,2,5,1013,"18,5 km/sa, K","8,00",Çok bulutlu (914 m)
29,2019/1/3,10:20,2,7,1014,"14,8 km/sa, K","10,00",Çok bulutlu (823 m)
30,12:20,12:20,,,,,,
31,2019/1/3,14:20,2,7,1012,"16,7","10,00",Kapalı (1.006 m)
32,2019/1/3,16:20,3,9,1011,"20,4","10,00",Kapalı (975 m)
33,18:20,18:20,,,,,,
34,2019/1/3,20:20,4,7,1005,"25,9","6,00",Kapalı (792 m)
35,2019/1/3,22:20,3,6,1004,"25,9","7,00",Kapalı (671 m)
36,00:20,00:20,,,,,,
37,2019/1/4,02:20,4,5,1004,"18,5 km/sa, KB","6,00",Çok bulutlu (823 m)
38,2019/1/4,04:20,2,4,1005,"48,2 km/sa, K","8,00",Kapalı (762 m)
39,06:20,06:20,,,,,,
40,2019/1/4,08:20,1,3,1014,"46,3 km/sa, K","7,00",Çok bulutlu (457 m)
41,2019/1/4,10:20,0,3,1020,"25,9 km/sa, K","7,00",Çok bulutlu (396 m)
42,12:20,12:20,,,,,,
43,2019/1/4,14:20,0,4,1022,"25,9 km/sa, K","10,00",Çok bulutlu (762 m)
