,Tarih,Tahmini_Nem,Tahmini Derece (°C)
0,2023-09-02,16.79958190768957,27.760971546173096
1,2023-09-03,16.630870640277863,27.670893371105194
2,2023-09-04,16.42782185971737,27.58644300699234
3,2023-09-05,16.2221682369709,27.507515013217926
4,2023-09-06,16.033463664352894,27.433904945850372
5,2023-09-07,15.871508233249187,27.365314722061157
6,2023-09-08,15.738566555082798,27.30135077238083
7,2023-09-09,15.631377175450325,27.241519272327423
8,2023-09-10,15.542929887771606,27.185235500335693
9,2023-09-11,15.464042469859123,27.131817996501923
10,2023-09-12,15.384718142449856,27.08048814535141
11,2023-09-13,15.295285232365131,27.030371844768524
12,2023-09-14,15.18732350319624,26.980498731136322
13,2023-09-15,15.054379917681217,26.92980444431305
14,2023-09-16,14.892458453774452,26.87712597846985
15,2023-09-17,14.700304806232452,26.821206092834473
16,2023-09-18,14.47947309911251,26.760695219039917
17,2023-09-19,14.234175704419613,26.69413858652115
18,2023-09-20,13.970918007194996,26.619995653629303
19,2023-09-21,13.697919718921185,26.536624252796173
20,2023-09-22,13.424320250749588,26.44228732585907
21,2023-09-23,13.159171655774117,26.335154116153717
22,2023-09-24,12.910209655761719,26.2132950425148
23,2023-09-25,12.682415045797825,26.074685871601105
24,2023-09-26,12.476361356675625,25.91720747947693
25,2023-09-27,12.286341913044453,25.738644242286682
26,2023-09-28,12.098282031714916,25.536685347557068
27,2023-09-29,11.88744780421257,25.30892103910446
28,2023-09-30,11.615917697548866,25.052850306034088
29,2023-10-01,14.234094239771366,24.956152737140656
30,2023-10-02,14.304141066968441,24.799201726913452
31,2023-10-03,14.258896291255951,24.64672154188156
32,2023-10-04,14.144602999091148,24.498969078063965
33,2023-10-05,13.993437796831131,24.356105983257294
34,2023-10-06,13.826091833412647,24.218197345733643
35,2023-10-07,13.654123179614544,24.08521270751953
36,2023-10-08,13.482106603682041,23.957026779651642
37,2023-10-09,13.309560969471931,23.83341544866562
38,2023-10-10,13.132662296295166,23.71406126022339
39,2023-10-11,12.945745036005974,23.59855180978775
40,2023-10-12,12.742582522332668,23.48637580871582
41,2023-10-13,12.517459519207478,23.376928865909576
42,2023-10-14,12.26602154225111,23.269508242607117
43,2023-10-15,11.985919214785099,23.163318932056427
44,2023-10-16,11.677224770188332,23.057465255260468
45,2023-10-17,11.342644393444061,22.950959861278534
46,2023-10-18,10.987510070204735,22.842718482017517
47,2023-10-19,10.619558714330196,22.73155915737152
48,2023-10-20,10.248492665588856,22.616205632686615
49,2023-10-21,9.885328762233257,22.495287477970123
50,2023-10-22,9.54153123497963,22.367333710193634
51,2023-10-23,9.227927163243294,22.230783224105835
52,2023-10-24,8.953410267829895,22.083974242210388
53,2023-10-25,8.72342912107706,21.925151824951172
54,2023-10-26,8.538256131112576,21.752464413642883
55,2023-10-27,8.391046054661274,21.563964903354645
56,2023-10-28,8.265679530799389,21.357611179351807
57,2023-10-29,8.13438531756401,21.13126176595688
58,2023-10-30,7.955153360962868,20.882684290409088
59,2023-10-31,7.668936192989349,20.60954624414444
60,2023-11-01,11.891024328768253,20.790591597557068
61,2023-11-02,12.314476273953915,20.60476952791214
62,2023-11-03,12.561070740222931,20.42309844493866
63,2023-11-04,12.679675325751305,20.246103882789612
64,2023-11-05,12.705704361200333,20.074215531349182
65,2023-11-06,12.663614101707935,19.9077667593956
66,2023-11-07,12.569191329181194,19.746996760368347
67,2023-11-08,12.431624926626682,19.592046916484833
68,2023-11-09,12.2553621083498,19.442963123321533
69,2023-11-10,12.041750311851501,19.29969471693039
70,2023-11-11,11.790460869669914,19.162099719047546
71,2023-11-12,11.500701747834682,19.029933154582977
72,2023-11-13,11.172212965786457,18.90286123752594
73,2023-11-14,10.806045226752758,18.780447244644165
74,2023-11-15,10.405130006372929,18.662166118621826
75,2023-11-16,9.974624529480934,18.547390639781952
