,Date,Hour,Dew_Point,TD1,TD2,TD3,TD4,TD5
76,2023/1/7,08:20,4,6,1025,"1,85 km/sa","4,80",Önemli Bulut Yok
77,2023/1/7,10:20,7,9,1025,"5,56 km/sa, KB","10,00",Bulut Tavanı ve Görüş Temiz
78,2023/1/7,12:20,7,11,1025,"7,41 km/sa, GB","10,00",Bulut Tavanı ve Görüş Temiz
79,2023/1/7,14:20,7,12,1024,"9,26 km/sa, G","10,00",Bulut Tavanı ve Görüş Temiz
80,2023/1/7,16:20,8,11,1023,"13,0 km/sa, GB","10,00",Az Bulutlu (1.219 m)
81,2023/1/7,18:20,8,10,1023,"3,70 km/sa","10,00",Bulut Tavanı ve Görüş Temiz
82,2023/1/7,20:20,7,9,1023,"5,56","10,00",Bulut Tavanı ve Görüş Temiz
83,2023/1/7,22:20,6,8,1023,"11,1","7,00",Önemli Bulut Yok
84,2023/1/8,00:20,5,7,1023,"7,41 km/sa, K","4,50",Önemli Bulut Yok
85,2023/1/8,02:20,5,6,1023,"11,1 km/sa, K","4,00",Önemli Bulut Yok
86,2023/1/8,04:20,4,6,1023,"7,41 km/sa, K","8,00",Önemli Bulut Yok
87,2023/1/8,06:20,4,5,1022,"7,41","10,00",Bulut Tavanı ve Görüş Temiz
88,2023/1/8,08:20,4,5,1023,"7,41","10,00",Bulut Tavanı ve Görüş Temiz
89,2023/1/8,10:20,6,9,1023,"9,26","10,00",Bulut Tavanı ve Görüş Temiz
90,2023/1/8,12:20,6,11,1023,"11,1 km/sa, D","10,00",Bulut Tavanı ve Görüş Temiz
91,2023/1/8,14:20,5,12,1022,"9,26 km/sa, GD","10,00",Az Bulutlu (853 m)
92,2023/1/8,16:20,6,11,1022,"5,56 km/sa, G","10,00",Az Bulutlu (853 m)
93,2023/1/8,18:20,5,10,1022,"14,8","10,00",Bulut Tavanı ve Görüş Temiz
94,2023/1/8,20:20,5,9,1022,"18,5","10,00",Bulut Tavanı ve Görüş Temiz
95,2023/1/8,22:20,4,7,1022,"11,1","10,00",Bulut Tavanı ve Görüş Temiz
96,2023/1/9,00:20,3,6,1022,"11,1","10,00",Bulut Tavanı ve Görüş Temiz
97,2023/1/9,02:20,3,6,1022,"9,26","10,00",Bulut Tavanı ve Görüş Temiz
